expcode,impcode,common_lang,ln_distance,ln_trade
ALGERIA,NIGER,1,2.564949,2.302585
ALGERIA,NIGERIA,0,2.927536,NA
ALGERIA,GUINEA-BISSA,0,3.453878,NA
ALGERIA,REUNION,1,4.276045,NA
ALGERIA,RWANDA,1,3.697861,2.397895
ALGERIA,SENEGAL,1,3.092074,3.688879
ALGERIA,SEYCHELLES,1,4.126021,NA
ALGERIA,SIERRA LEONE,0,3.190485,NA
ALGERIA,SOMALIA,1,3.899877,NA
ALGERIA,ZIMBABWE,0,4.008654,NA
ALGERIA,TOGO,1,2.999916,NA
ALGERIA,UGANDA,1,3.679415,NA
ALGERIA,UNTD RP TANZ,0,3.84354,10.14945
ALGERIA,BURKINA FASO,1,2.760731,8.395477
ALGERIA,ZAMBIA,0,3.927385,NA
ALGERIA,CANADA,1,4.635623,11.10811
ALGERIA,USA,0,4.610146,14.07479
ALGERIA,BERMUDA,0,4.217866,NA
ALGERIA,GREENLAND,0,4.119401,NA
ALGERIA,ARGENTINA,1,4.513989,NA
ALGERIA,BOLIVIA,0,4.401111,NA
ALGERIA,BRAZIL,1,4.239018,12.00467
ALGERIA,CHILE,0,4.543521,NA
ALGERIA,COLOMBIA,0,4.366233,NA
ALGERIA,ECUADOR,0,4.453281,NA
ALGERIA,MEXICO,0,4.655093,2.70805
ALGERIA,PARAGUAY,0,4.375896,9.352361
ALGERIA,PERU,0,4.473513,NA
ALGERIA,URUGUAY,0,4.441057,NA
ALGERIA,VENEZUELA,0,4.274443,NA
ALGERIA,COSTA RICA,0,4.486866,NA
ALGERIA,EL SALVADOR,0,4.53262,NA
ALGERIA,GUATEMALA,0,4.544188,NA
ALGERIA,HONDURAS,0,4.504678,NA
ALGERIA,NICARAGUA,0,4.491657,NA
ALGERIA,BAHAMAS,0,4.370573,NA
ALGERIA,BARBADOS,0,4.16307,NA
ALGERIA,CAYMAN ISLDS,0,4.427873,NA
ALGERIA,CUBA,0,4.421898,6.177944
ALGERIA,DOMINICAN RP,0,4.306958,NA
ALGERIA,GUADELOUPE (,1,4.184238,NA
